CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.984162576301213
C0001,C0107,0.9784417276992823
C0001,C0048,0.9100750899052807
C0002,C0142,0.973743254117081
C0002,C0159,0.9635290697739584
C0002,C0146,0.9583819178742757
C0003,C0052,0.9921895389816026
C0003,C0192,0.9711363261505683
C0003,C0120,0.9699764483318822
C0004,C0012,0.9839137104549261
C0004,C0113,0.982407235362225
C0004,C0165,0.9791598961402878
C0005,C0186,0.9918818852703909
C0005,C0123,0.9841201360252502
C0005,C0140,0.969255220266321
C0006,C0168,0.9384550636150497
C0006,C0158,0.9292020723424471
C0006,C0187,0.9080887289742692
C0007,C0128,0.9106012249762281
C0007,C0043,0.8889871073993242
C0007,C0097,0.8747588172015287
C0008,C0109,0.9541121921993109
C0008,C0098,0.9322657767405351
C0008,C0139,0.8881253699819839
C0009,C0198,0.9816014039470315
C0009,C0121,0.9691261825004002
C0009,C0063,0.9623125418162994
C0010,C0199,0.9778542190295945
C0010,C0132,0.9582365662901052
C0010,C0166,0.9511752149998838
C0011,C0137,0.9882403593853165
C0011,C0048,0.983559446257565
C0011,C0190,0.9534141749176698
C0012,C0004,0.9839137104549261
C0012,C0169,0.9668975159773112
C0012,C0126,0.9650757060705029
C0013,C0104,0.9898953403827616
C0013,C0155,0.9872078712383018
C0013,C0082,0.9689205711379119
C0014,C0073,0.9780520604198162
C0014,C0058,0.9524091314512146
C0014,C0110,0.9516699573007898
C0015,C0033,0.9432442245443006
C0015,C0036,0.9330366684297345
C0015,C0035,0.8850325195871922
C0016,C0183,0.9992522444451958
C0016,C0072,0.8965387077620892
C0016,C0067,0.8627672492869763
C0017,C0075,0.9810693216066971
C0017,C0051,0.934657162412857
C0017,C0041,0.9080744400205789
C0018,C0079,0.9422657840886076
C0018,C0117,0.9232573665032756
C0018,C0154,0.783174924573575
C0019,C0172,0.990489693138032
C0019,C0111,0.8961274207752347
C0019,C0119,0.8682201378200275
C0020,C0058,0.9979881991289485
C0020,C0144,0.9917264470271872
C0020,C0176,0.9547675919392258
